Chapter,Section,Paragraph,Content
1,1,15,"The Vice-ChancellorJs Report for 1976-77 lists almost 200 public bodies and committees on which members of the staff were serving outside the University itself, in many cases as Chairmen. In addition to all these community functions, in addition to the teaching and examining and administering which occupy the daily life of the academic, in addition to the thrall of some 120 committees which guide this daily life, the teachers managed in that year to publish not only over 450 articles in the learned and professional journals, but some 25 monographs and books in English and Chinese, ranging from a short monograph on crop physiology to a two-volume union catalogue of Hong Kong's library holdings, from Hong Kong taxation to aerial photography, from low-cost housing to Chinese blue- and-white porcelain."
1,1,16,"There is nothing extraordinary in what I have been at pains to show in some detail. These are the normal activities of a university's graduates, and of its teachers outside the classroom, committee meetings, and examination halls. They are the responses of sensitive people to requests for help and to the need for information. They are not proclaimed to the sound of trumpets, and being taken for granted assume importance in the public view only when there is the risk that they may be curtailed or stopped. U nti! the wartime Occupation the University's activities were small and directed chiefly at China; now they are large and concentrated on Hong Kong."
1,1,17,"Some graduates are overseas. The number is comparatively small, and they have achieved in proportion the same distinction and engaged themselves in enriching the community life in other countries in much the same way as they have in Hong Kong. There are mathematicians who studied under Professor Wong Yung-chow at the University now occupying full professorships at Yale and Princeton and several other universities in North America. Of the first group of architecture graduates in 1955 studying with the late Professor Cordon Brown, one has become Canada's most distinguished architect. One of the early arts graduates was Chief minister of Kedah State, one headed the inland revenue department in Malaysia, and another became deputy speaker in the Singapore Assembly. A graduate who died not long ago was a highly respected full professor of the history of science and civilization in the National Tsinghua University at Peking. A graduate of 1942 is now head of the history department in Chungshan University, a specialist in Tibetan history. Others are working with the United Nations in New York as interpreters; many teach Chinese in universities in America and Australia; the language of the Esquimaux preoccupies one who holds a senior fellowship at the Sorbonne in Paris; another has occupied a Chair of Chinese at the University of London School of Oriental and African Studies and joined the Chinese University of Hong Kong as head of its department in 1978."
1,1,18,"There is also another side to the coin. Many eminent local citizens who would otherwise not be counted among the University's members play a significant role at the very heart of its decision-making processes. Two-thirds of the members of the Court, the supreme governing body, are lay members; and the membership of its executive body, the Council, is weighted in favour of lay representation. Both have lay Chairmen and the Council has fathered many committees on which lay members sit. The citizens in this way take their place in the legislative and review functions of University bodies, in guiding its lines of development and determining the directions in which its money is spent and in appointing its staff. Nor are these duties, in many cases onerous, announced with public fanfare; but they are as much benefactions as are donations to University funds, though not so easily expressed in quantity, and the readiness with which they are assumed is itself a measure of the public's faith in the University, the confidence that it will not fail to satisfy the community's need for the services it offers."
2,0,0,Revolution in China
2,1,1,"Although the present educational role of the University is to supply versatile citizens and civil servants to Hong Kong and professional people of a high cultural and social awareness, it was originally founded in direct response to the explicit needs of China for modern technology and a clear understanding of the Western temperament, and has not entirely lost the flavour of its origins, in spite of the wide difference between its early object and its present directions."
2,1,2,"Its founding in 1911? by Sir Frederick Lugard and others, expressly to help in a Chinese renascence, was in some degree part of a more general competition among foreign powers interested in securing strong educational footholds in China itself. Thus, without an outline reference to some aspects of the earlier story of China's relations with the West not only the reasons for its founding cannot be unfolded, but also many of its activities in its first three decades of existence may not be readily understood. We must begin the account with the suppression of the Taiping Rebellion in 1864."
2,1,3,"The Rebellion started what has been seen in the short view as an invitation to the foreign vultures hovering over China to land and gorge themselves, and in the long view as China's intellectual renascence. The Taipings were suppressed through the intervention of Britain and France, and in return these powers were granted travel concessions, extraterritorial rights, and permission to make Chris- tian converts among the Chinese. In the wake of these licences, treaties were also signed with America and Russia. The foreign scramble for footholds in the Chinese system began in earnest, drawing its very strength from China's own introvert resistance to modernization by external methods, which was denying her the new military techniques and the modern armament which she needed to mount an effective defence, and to keep the full independence and the international respect due to so large and so ancient a nation. The suppression of the Taipings opened half a century of dawning awareness that China must come to terms with the West, must learn how to measure up to the stranger if she was to defend herself against aggression and the partition of her vast potential among foreign powers."
2,1,4,"The presence of foreigners with their fingers in the Chinese administrative system was tolerated until the Second World War, when the old power structure was dismantled and reconstructed in its new and distinctive form. China's dilemma was that, while she needed to learn and adopt Western sciences and methods and naturally wished to provide for her own progress on her own terms, the teachers of the new technology equally naturally set conditions of their own, demanding concessions each one of which, in the granting-mostly in response to shows of force-eroded her international respectability, and once granted, her indepen- dence. The interaction of desire with distaste accounts for much of China's vacillation in her irresolute foreign relations, for the contradictions between word and deed in her administrative and educational systems, and of course for her growing vulnerability to foreign interests and aggression. The total defeat of Japan by the West in 1945, and the spread thereafter southward through China of a resolutely unifying form of communism, which had taken root in the north, put an effective end to this weakness."
2,1,5,"The nineteenth century was a time of great expansion of the activities of Christian missions in the Far East. However respected its antiquity, China was seen from the West as a retarded nation, moved by moralities little comprehended and therefore indefensible, in dire need of new directions and the sort of help the missions were there to offer. From their new wealth, Western industrialists were able to provide lavishly enough for the missions in the East to expand, as much with trade outlets as the hereafter in view. The missionaries took Western medicine with them and insidious glimpses of other sciences, a dedication to the educational process, and sympathy, but of course a very different sort of logic."
2,1,6,"Though they were not everywhere taken as seriously as they intended, it was largely the missions which prepared the Chinese ground for the seeds of dis- content; and in the official mind they came to be thought of as the vanguard of conspiracies to establish spheres of political influence."
2,2,1,"It is generally held that the national universities in China developed from provincial centres of advanced (what we would now call secondary) learning called the Shu Yuan or Colleges, which had been opened mostly with grants of land made by the imperial government between the tenth and eleventh centuries for the study of the Chinese classics, history, literature, and philosophy. At the time Western civilization came into direct conflict with China during the Taiping Rebellion, several were still surviving."
2,2,2,"The Rebellion brought the impetus needed for the formation of the Chinese Imperial Maritime Customs as an international force; at its head Sir Robert Hart played a leading part in preparing the country's leaders for the appearance of a regenerating drive, with the winds blowing in from the West. In 1862 a foreign-office interpreters' school was established as Peking College at an elemen- tary level, much the same as the T'ung-wen-kuan already existing at Canton but closely connected with the training department of the Customs. From 1867 and while the College was in the process of reorganizing, there grew a movement to turn it into a Western-style university variously referred to as an 'Imperial University', a 'College of Western Sciences and Literature', a 'University of Peking', and more grandly still a 'New University of China'. Hart's backing was obtained, and much propaganda put about to the effect that he was the move- ment's leader. It was, it was said, a positive and practical step to import into China Western learning at the highest level, and Hart had himself persuaded the Government to open such an institution. In the event no such thing happened for another forty years; the interpreters' college simply reopened in Peking in 1870, with some extensions.{Baron ]ohannes von Gumpach said in The Burlinghame Mission, 1872, that 'no University, no institution resembling a university, no College of Western Science, Art, and Learning does exist, or has existed, either in Peking or elsewhere in China'. This is the oddest of polemical collections, in which one chapter seeks to prove that Hart's efforts for a New University of China were fraudulent and part of a long political manoeuvre to ingratiate himself with the Imperial Council.} Until 1902, when the College was merged by Imperial decree in the Imperial University, Hart had the task, as Inspector- General of Customs, of nominating to vacancies in the teaching staff, and often temporarily detached his Customs officers to teach there."
2,3,1,"The reform of the educational system and the syllabus of the official examinations was seen as the heart of all spasmodic attempts to modernize China's defences against political disaster. The Council of Foreign Affairs sought in 1866 to set up a college for the cultivation of the Western sciences, among many such moves. To the modern Western ear one of the questions it asked itself then, voices a criticism of the educational system which could not possibly have been more clearly put. 'Why is it', the Council asked in a memorial to the Throne, 'that the book on the Chao-liJ on the structure of chariots , has for some thousands of years been a recognized text-book in all the schools?'. {Charioteering was one of the ancient arts; the others being good behaviour, study, archery, music, and (occasionally) mathematics.}"
2,3,2,"Nothing practical was achieved. Memorial followed memorial from the pens of high-placed and conscientious reformers, urging the introduction of mechanics and mathematics into the official examinations, but to no purpose. At the ceremony held on the 1 st October 1887 inaugurating the new Hong Kong College of Medicine for the Chinese, the first Dean bemoaned the lack of positive action:"
2,4,1,Twenty years ago the Taiping Rebellion was suppressed. Those of us who were in China then thought that surely now a new era is beginning; and we waited from day to day and year to year for what is called the opening of the country.
2,4,2,"In imagination we saw a network of railways and telegraphs rapidly spreading itself over the land; hospitals and schools of science rising in the towns; public works going on everywhere; there was to be better government, better food, better clothing, better houses, more security and comfort for everyone. Everything was to be squared to the foreign model. ... The desirability of all this was very manifest to us, and we could not understand why it was not set about immediately."
2,5,1,"During a vacation visit to China twenty years later Sir Charles Eliot, then Vice-Chancellor of the newly-opened University of Sheffield in England, wrote that he had heard 'great talks ... of reforms and representative government. Boards and Commissioners are appointed to study foreign constitutions, armies, and systems of education. Everyone is reporting on something or other, and the officials of the Empire seem likely to turn into living Blue Books'. But even by then he saw nothing that encouraged him to expect action. 'I am not sure', he commented, 'that all this indicates a real desire to do anything, for I have been an official myself, and I know that the object of asking for a report on a question is generally to get rid of it'. {Letters from the East, 1907}"
2,5,2,"Together with the scramble of the Western powers for spheres of influence in China and China's growing hostility to the presence of foreigners on her soil, two other processes of importance were taking place in the effort to introduce modern reforms. One was the speed with which the enlightenment, military might, and prosperity ofJapan bloomed once its Imperial Court had opened the gates to the methods and results of Western progress; and the other was China's official intention to import Western knowledge on her own account, and her attempt to achieve this by sending large numbers of her young intellectuals to study abroad for extended periods."
2,6,1,"There had been friction between China and Japan for many centuries over the control of the Korean peninsula. At a time when Korea was the vassal of China there was a mutual agreement that neither, to put it into the simplest terms, would despatch forces into Korea without first informing the other. This agreement remained effective until 1894, when China supplied reinforcements in response to an appeal of the King of Korea for help in suppressing a rebellion without first informing Japan, whereupon the Japanese sent in a strong punitive force and defeated the Chinese detachment. As recompense for withdrawing and declaring Korea independent, Japan took a number of prizes which included Formosa and the Liaoting peninsula. As recompense, in return, for arranging the restitution of the peninsula to China the Russians were given permission to extend the Trans-Siberian Railway across Manchuria to Vladivostock with a branch line to Dalny (later Dairen) near Port Arthur. In 1898 the Russians then forced through an agreement that they should acquire a twenty-five year lease of Port Arthur and its neighbourhood and rights to construct a rail link from the Trans-Siberian Railway terminus through Newchwang to Harbin. The same year, in reprisal for the assassination of two of its missionaries, Germany invaded Tsingtao and among other prizes won a ninety-nine year lease of Kiaochou, the territory surrounding Tsingtao. Railway concessions and a ninety-nine year lease of the Bay of Kwangchow as a naval base fell to the French. The British in Hong Kong acquired the New Territories for ninety-nine years and Weihaiwei for as long as the Russians were in Port Arthur."
2,6,2,"The ease with which these concessions were acquired led to further demands in what were called the Treaty Ports: by Japan in the southern ports of Amoy and Foochow; by Russia in Newchwang; by Germany in Tientsin; by France, Britain and America in Shanghai; and by Japan, Russia, Germany, France, and Belgium in Hankow. The West, with the despised Japanese now lying alongside, had penetrated in force into a China closed to progress and outside influence by an arrogant foreign policy since the eighteenth century. If its weaknesses, now revealed in full display, were not to invite still further demands, China needed to make its most determined efforts to modernize, and to regain her self-respect and her independence from the importunities of foreign powers."
2,6,3,"The reformers had long been seeking opportunities. Many of them were Cantonese, generally regarded as from a most contumacious province. Canton was far from the Throne. Hong Kong was farther still, and always a convenient place for intrigue and refuge. Many were known to have had close connections with the Christian missions. In Peking the Cantonese K'ang Yu-wei formed his Reform Club and in 18g8 gained the young Emperor's support for a Hundred Days of Reform, to include wholesale and precipitate changes in the examination system and syllabus. Affronted by moves she saw as a conspiracy to overthrow the Manchu Dynasty, the Dowager took the Emperor into custody and disbanded the Reform Club by executing seven of its most prominent heads. K'ang fled to Hong Kong, where he heard of the sorry collapse of his movement and started a long exile. Reinstating the old examination system and syllabus, the Dowager threw a sop in the direction ofreform by founding the first modern Chinese univer- sity-the Imperial University with eighty students-and modern secondary schools in some of the provincial capitals, which by a further edict of IgOI were to be developed into a system ofNational Universities on the Imperial University model."
2,6,4,"In the South Dr Sun Yat-sen, another Cantonese and son and husband of Christians, had tried out his wings in an attempted armed occupation of Canton in 1895, only three years after graduating from the University of Hong Kong's own forerunner, the Hong Kong College of Medicine for the Chinese, a hotbed of young revolutionaries. Sun's attempt failed and he took flight as an outlaw to Hong Kong, whence he fled to England. {Its history has been traced in some detail in papers by Lindsay Ride, and in the essay he contributed to B. Harrison, ed., The First 50 Years, pp. 6-22.} It was while he was in London that occurred the well-known kidnapping, and his release from the custody of the Chinese Embassy in response to the loud public indignation aroused by Drs Cantlie and Manson, his former medical teachers in Hong Kong. From England he went to Japan to seek support there for the cause of Chinese reform and republicanism."
2,7,1,"Meantime, hostility to the foreigners in China was fast growing. The revival of an old society under its new name of the Boxers provided the focus for the expression of anti-foreign feeling in positive actions, and the first took place in Shantung in reaction to the German invasion. Constrained by no official condemnation from the Throne, the Boxer movement gained in force until 1900, when foreign embassies and the lives offoreigners living in Peking were imperilled. Some were murdered and most of the rest assembled in the British legation, to which the Boxers laid siege. An expeditionary force of allied foreign troops was rapidly formed in Tientsin and despatched to Peking to relieve the legation. The Empress Dowager fled taking the Emperor with her, and when the smoke had cleared they returned to Peking to accept the terms imposed by the Allies. With this, the Boxer movement was at an end."
2,7,2,"The foreign terms imposed upon China demanded full reimbursement of the costs incurred by each of the governments in providing expeditionary troops for the relief and continuing protection of its nationals, and of the losses suffered by foreign individuals during the uprising. The total of the Boxer Indemnity was ?65 million to be paid within thirty-five years from 1902, including ?11 millions for Britain, a purse upon which the University kept a watchful eye for many years."
2,7,3,"Russia continued reinforcing its position in Manchuria; by 1903 it had completed its railway through to Port Arthur and posed a new threat to the security of Japan and to Japanese influence in Korea. The next year a war erupted in Manchuria between the two nations, and in 1905 Russia was defeated by Japan in the field. The defeat of a major Western power by an Eastern nation using Western technology was a new sort of practical lesson for China, and opened the door to reform a little wider. A series of Imperial Edicts issued during 1905 and 1906 ordered a restructuring of the administrative system, the re- organizing of the army and navy, and the reform of the education and examina- tion systems. A central parliament was to be in session by 1915, a date later brought forward to 1913; and in preparation for this, torture and the taking of opium were forbidden and plans laid for long additions to the internal railway system. The first Ministry of Education was formed and the old competitive style of examination abolished. At the time the Dowager and the Emperor Kuang Hsu died in 1908 and the child Emperor was enthroned, one experienced foreign estimate of literacy in the north was one per cent of the population; another put literacy in the south at not more than three per cent: a narrow enough base upon which to erect a modern China."
2,8,1,"From the end of the Sino-Japanese War the predominant influence in the Chinese educational system had been Japanese. The Imperial University at Peking, upon which other national universities were later modelled, was organized in the Japanese pattern and included mathematics and science in the curriculum. The demand for admission to foreign schools and colleges both inside and overseas, including the Anglo-Chinese schools in Hong Kong, was growing apace, by far the largest numbers being in Japan, where there were variously reported to be 11,000 students in 1905, 13,000 in 1907, and 15,000 in 1908, after which the numbers in Japan rapidly descended."
2,8,2,"At a meeting held in Tokyo on the 13th August 1905 to welcome Dr Sun, a new united republican party was born, in which a number of reform creeds were accommodated, under the name T'ung-meng-hui, the Sworn Brotherhood. The party later came to be called the Kuo-min-tang, to which its present-day descent in Taiwan still adheres. Among those in Hong Kong who immediately joined the new party was Li Shu-fan, then still a second-year student of the College of Medicine. He took the oath of allegiance not far from the Alice Memorial Hospital where he was studying, administered in an attic office above the China Daily News before Chan Siu-pak, who had just been elected president of the Hong Kong branch of the united party."
2,8,3,"Before establishing himself in Hong Kong for his further studies Sun Yat-sen had made contact with many young radical reformers who belonged to the Sanhohui, a large anti-Manchu triad in Canton, and brought to Hong Kong with him his first half-formed thoughts of Chinese reform. Chan Siu-pak, of whom we shall hear more, the son of an enlightened father who was also a Christian convert, was the first student to be enrolled in the Canton Christian College as a youth of eighteen when it was first founded in March 1888. He had heard with interest of Sun's developing ideas on reform, and paying him a visit at the College of Medicine in Hong Kong became so impressed that he dropped out of the Christian College and enrolled in the College of Medicine in order to be in daily contact with Sun, leaving with Sun but without completing the course when Sun graduated in 1892. In the College of Medicine Chan joined Sun and two other reformers, Yau Lit and Yeung Hok-ling, under the name of the 'Four Great Outlaws'. With Sun among the first group enrolled in the College of Medicine in 1887, but graduating a year after him, was Kwan King-Ieung-we shall hear more of him too, in the course of the story of the founding of the University. Visiting Hong Kong in 1923 and invited to address the students, Sun recalled his student days at the College, when after his lectures and after reading his books he strolled along Hong Kong's streets and contrasted the orderliness of everything he saw with conditions in Heungshan, where he spent his vacations in the family home, and where there was lawlessness and disorder. He concluded that the differences arose in deficiencies of government-'Why not change it? Why could we not imitate the same thing and change the government?' he asked himself."
2,8,4,"It was on Sun's orders that Chan established in Hong Kong the China Daily News (Chung-hua jih-pao), the first Chinese newspaper openly to advocate revolution and the overthrow of the Ch'ing dynasty, to the great and constant embarrassment of the Government of Hong Kong. Immediately the T'ung- meng-hui party was formed in Tokyo, Chan was elected president of its Hong Kong branch and became less overtly politically active, relinquishing his editorship to the Tokyo-trained militarist C. C. Li, son of the party's treasurer in Hong Kong, Li Yuk-tong."
2,8,5,"There was scarcely a student returning from Japan who was not sympathetic to the revolutionary aims of the T'ung-meng-hui. This was true of students studying elsewhere overseas; and this was one of the two reasons for the almost continuous absence from China of the revolutionary leader Sun Yat-sen, who was engaging himself in preparing them for their return as the new leaders educated in the modern world, at the same time soliciting funds for the promo- tion of his cause. While the revolutionary party was being re-formed in Tokyo by Sun himself, its young adherents who had returned to China were being recruited as officers into armed forces, as part of the reorganization and strengthening ordered by the Emperor in the edicts issued in Peking. Many others were taking up teaching positions in the upper levels of the expanding educational system. A memorandum to the Governor of Hong Kong in September Ig08 from the Consul-General at Canton said that in Canton's Provincial College, which was a tertiary institution, all subjects but foreign languages were taught by Chinese professors, 'the majority of whom received their training in Japan'. Decapitation awaited those in China who were discovered to be members of the new party. As Dr Li Shu-fan wryly put it, 'it was of paramount importance to the con- spiracy that the society's agents gain positions in the regime, although this was like ""playing in the tiger's mouth"" '. Dr Sun frequently travelled under an assumed name and in disguise to escape detection. In his autobiography Dr Li recalled that in 1g07, when he was in his fourth year at the College of Medicine, he was summoned with C. C. Li to report to Dr Sun who was a passenger in a French ship anchored in Hong Kong harbour, passing through after the abortive attempt at rebellion in Kwangsi. They had some difficulty in tracing him because he had an assumed name they had not been given, but finally tracked him down in a cabin, where he sat disguised as a Japanese in a kimono with a blue flower pattern."
2,8,6,"Students in the exodus to Japan had been mostly the sons of wealthy families, as most of them had to pay for themselves. In the 1870S an earlier government experiment to arm some of the students with a Western education in the United States on scholarship had ended in their recall when it was reported that they were becoming denationalized-getting their 'veneer of foreign manners badly laid on a Chinese framework', Lugard later called it. The move- ment to Japan came under official displeasure on the pretext that the students became either dissipated or revolutionary. A crop of edicts in 1905 reminded students that they were expressly forbidden to concern themselves with political movements, and reflected only too clearly the nervousness with which the authorities in Peking viewed the activities of Dr Sun overseas and the malign approach of the new enlightenment they so desperately needed. At the same time the Ministry of Education in Tokyo, inspired by pressure from a Chinese govern- ment fearful 'lest the University students in particular should imbibe dangerously progressive ideas', issued regulations for their control while inJapan. The students thereupon went on strike, announcing that unless the Japanese restrictions were removed they would either establish a University in Shanghai with European professors, or go to Europe or America to continue their studies. A correspondent writing to Hong Kong from Tokyo at the time asked, 'As these young men are the flowers of the intellect of China it has occurred to me that it would be a great diplomatic stroke to afford them facilities for study in a British community. Why cannot Hong Kong take the matter up?' {Item dated 9th December 1905 and reported in the China Mail on the 19th}"
2,8,7,"W. H. Donald, then managing director of the China Mail, took the matter up and set about drafting the editorial which has generally been taken to be the point at which the whole notion of a University of Hong Kong took origin. On the morning of the evening issue in which it was to appear he sent a copy of the proof to Government House, in an attempt to enlist the support of Sir Matthew Nathan in what he called his 'crusade' to establish in Hong Kong an imperial university. {15th December 1905} The article itself aroused a little desultory discussion in the corres- pondence column over a few days, notably a lengthy protest from Dr Bateson- Wright, the headmaster ofQueen's College, but no warmth from official quarters: though Nathan did fly a small kite, in a suggestion made at a prize-giving that St Stephen's College might affiliate itself with an English university. The crusade was, for the time being, dropped."
2,8,8,"Donald, an Australian with a strong sense of Empire and nothing if not persistent, waited for the coming of a new governor before raising the issue again. Sir Frederick Lugard arrived on the 28th July 1907. He was nearing fifty and had a distinguished career behind him in West Africa, to be resumed after his brief stay in Hong Kong. One of Britain's most able colonial administrators, his theory of trusteeship in administration had profound effects on the administration of Britain's colonies generally. But in Hong Kong he found no parallels with Africa; his long-serving Colonial Secretary, Francis May, who enjoyed the respect of the community and had some command of the language, had capable control of the administration. Lugard's fear was lest, for the first time in his career, he might serve a term without making any significant addition to the welfare of the community he was serving. He had scarcely been in office two months when Donald saw his chance."
2,8,9,"In one of a series of articles on Hong Kong's education in the Federal Magazine E. A. Irving { In 1911 he was the University's first Registrar and, in 1921, father of the first woman student admitted to it.}, then Director of Education and on leave in England, drew attention to the numbers of school children in Canton and the surrounding areas who sought their secondary education in the Anglo-Chinese schools of Hong Kong, and offered the conclusion that for Mainland students the schools in Hong Kong were more popular than those in Canton. The reason he gave was that the sound knowledge of English imparted in the Hong Kong schools opened up the world to their pupils. Donald used these articles as a pretext for reviving his crusade. { China Mail, 3rd October 1907}"
