Chapter,Section,Paragraph,Content
4,4,2,"Hong Kong's schools were already supplying China with officials, particularly successfully where a knowledge of English was an advantage. Half of the final pass-list after the first examination held in the newly-organized Imperial Maritime Customs Training College at Peking were Queen's College boys. The flow of the people of Hong Kong in and out of China, including students, was a fact of daily life."
4,4,3,"It could be said that the features of Hong Kong, considered as an entity outside China, lacked cohesion, defied the definition in terms of people and culture which readily distinguished Athens or Bangkok or London or Peking. The reason was, that practically everyone was expatriate. The small group of officials despatched to Hong Kong from Whitehall and by the Anglican and other religious missions, the garrison personnel and naval squadrons, the Western businessmen and professional people were no more expatriate than were the members of the large majority Chinese population itself. A Westerner returned on visits to his homeland less frequently, in general, than he visited China, and rarely had the occasion to be host to visiting members of his own family: it was he who was especially committed to a life in Hong Kong. The Chinese had little difficulty in keeping their family ties taut, on the other hand, for they were mostly connected with villages and towns in China at no great distance, within the jurisdiction usually of the Viceroys of the Two Kwangs and the Two Kiangs; they came and went with great ease and were able to renew their bonds, refresh themselves at their own source-waters, and return to Hong Kong to pursue a life which was no more than a slightly distorted extension of the lives their relatives were living across the border. The local fishermen were equally at home, of course, in any of the fishing ports along the South China coast. The first train ran the entire length of the Kowloon-Canton line on the 30th July Igl I: making journeys to China that much easier, and opening up an ever larger area from which Hong Kong would draw its expatriate Chinese population. It was the fact of this daily flow in and out of China which made Lugard's university project, for the Chinese of Hong Kong if not always for its foreigners, one of sound com- mon sense. When Lugard spoke at the founding ceremony in Iglo of the immeasurable influence the new University would have among the 400 millions of China, he believed, with every reason in the world, that this was a clear expectation."
4,5,1,"A sub-committee appointed to consider the constitution of the University reported in April 1gog, and having seen and compared in detail the charters of a great many universities in Britain, India, and the United States of America, recommended that the ordinance of incorporation with its supporting statutes, should be modelled on the charters of the Birmingham-Leeds-Liverpool group, slightly modified with reference to the Indian universities, but with the closest approximation to the charter of Leeds which was the smallest and newest. On the basis of this recommendation an Ordinance was drafted with a schedule setting out the details of organization in the form of Statutes. It passed into law on the 30th March 1 g 1 I, a good year ahead of the opening of classes, so that the University bodies might in the meantime be constituted and take in hand the detail of the agreement with the College of Medicine, the search for a Vice- Chancellor and teachers, the furnishing and equipping of the first buildings designed by Mody's architect and then rising from their foundations, the writing of a curriculum, and the myriad preliminaries needed to bring the substance to its shadow."
4,5,2,"A Court of forty members, including the whole Court of the College of Medicine, was its legislative and supreme governing body; a Council its executive. The Ordinance provided that all educational matters were in the hands of a Senate assisted by Boards of Faculties: but as these would comprise mainly teachers they could not be formed until a Vice-Chancellor and teaching staff were assembled. The Lugard preparatory committees stood thereby dissolved, save only that the fund-raising committee continued unofficially to function for some years. The terms in which the College of Medicine would cease to exist and be merged with the University as its Faculty of Medicine were set out; and in addition to Medicine there was to be a Faculty of Engineering; among other Faculties afterwards constituted, priority was to be given to Science and Arts, with due provision for the study of Chinese language and literature. The Governor and Chang J en-chun were designated the first Patrons."
4,5,3,"The first meetings of the Court and the Council were held both on the same day, the 28th April 1911. At its meeting the Court was presented with a statement of subscriptions to the Endowment Fund running to twenty-five pages. At this distance in time it is a most revealing document. The subscribers listed in it were mostly residents and associations and other groups in Canton, Wuchow, Newchwang, Amoy, Saigon, Penang, Australia, Macao, England, and Hong Kong; but also included were some officials in Peking and elsewhere. The grant of the site, which was Crown land, was approved by the British Government as its contribution, and by the time the foundation stone was being laid it had also secured a vote from its Treasury of £300 a year for the endowment of King Edward the Seventh Scholars, a token of its interest which Lugard believed to be quite without precedent."
4,5,4,"The statement is in three sections: the first details Chinese subscriptions, which include the proceeds of the two theatre performances, the $200,000 from the Viceroy of Canton, and a subscription from the Imperial Government at Peking, in all a little over $650,000; the second comprises Hong Kong subscrip- tions from non-Chinese individuals, banks, and trading and brokerage and professional firms, in total about $ 135,000; and the third is of subscriptions given in England by firms and individuals both in and out of the China Association and includes the founder of the Hongkong and Shanghai Banking Corporation and two former Governors of Hong Kong, in all $9,445 (£770). Separately from the three lists appear the donations ofJohn Swire and Sons and its two associated firms, the Taikoo Sugar Refinery and Ocean Shipping Company, which together amounted to $457,143 (£40,000)."
4,5,5,"The Chinese subscriptions in Hong Kong, in a spread between $20 and Ng Li-hing's magnificent gift of$50,000 transferred from the College of Medicine came in from a comprehensive range of its society. This section of the list sets out the donations offered by 210 individuals in business and professions and servicing industries, by seventeen banks, by four insurance and three shipping and shipbuilding companies, by eight opium, oil, cotton yarn, and California and Manila merchants, by three ironmongers, a fur dealer, five contractors, and five goldsmithies, by eight compradoring companies and eight piece-goods and other shops, by the Imperial Chinese Telegraph Administration, by 290 firms, companies, and hongs with activities undefined, and by three photographic studios including that of Ah Fong, who took and tinted the portraits of three of the major benefactors in 1912 and probably others in subsequent years for hanging in the Great Hall. Among the individual subscribers are 61 of the hundred members of Ho Kai's fund-raising committee. Other notables were the President of the Board of Posts and Communications in Peking, the Minister to the Court of St James in London, the Imperial High Commissioner for the Delimitation of Macau, the Taotai of the Tientsin Customs, and the ex-Taotai of Newchwang {Chow (later Sir) Shou-son.}"
4,5,6,"The same publication also details the subscribers to the equipping of the proposed anatomical laboratories, which were being constructed with Ng Li- hing's donation. Apart from a group of doctors and dentists, this subsidiary list is a quaint collection of forty-eight of the so-called guilds of Hong Kong. There are the food guilds, the dealers in rice, pork, flour, tinned and preserved foods, fish (variously salt, fresh, and fresh-water), dried fruit, sauce and soy, oil, vegetable and fruit, pigs, cattle, sheep, and tea, and the keepers of tea-houses and restaurants; there are the cloth guilds, the merchants in cotton yarn, piece goods, Shanghai silk, and cast-off clothes; there are the herbal guilds, running opium farms and trading in prepared medicines, foreign ginseng, tobacco, and medicinal herbs; there are the guilds of the artisans working in sandalwood, rattan, earthenware, gold leaf, and tin, the makers of straw and hempen bags, and the dealers in paper goods; there are guilds of the pawnbrokers and the Chinese bank and insurance brokers; there are the Kau Pat, Nam Pak, and King Pak (opium) hongs and a group of Tsui Li Tong compradores; there are guilds of the contractors, the theatre workers, the keepers of boardinghouses, the chandlers, the photographers, the purveyors ofkerosene, the California firms, and the import and export agencies; and one is left wondering what the Vermilion Guild could possibly have been, if it was not a guild of chop-ink mixers. In a range from below $80 to above $2,000, the weight of the Guilds' purse in support of instruction in the unspeakable intrusions of anatomical cutlery amounted to a little over $27,000 and in itsome of the subsidiary coins had to be sold at a small discount."
4,5,7,"Perhaps more than any other, this anatomy building thus bore the benediction of the man in the Hong Kong street. It was extended for the teaching of physiology in 1917 with a donation from Ho Fook. For its design and the supervision of its construction H. G. Fisher was the architect, and he gave his services free. It is now levelled to make way for new developments in engineering and science, since the old science and engineering buildings interfere with road- widening schemes. The patronage of the man-in-the-street from his pocket has given way to the patronage of the Government, which dispenses his taxes."
4,6,1,"At the University's first Council meeting Irving was continued as Registrar, a three-member standing Finance Committee formed with Chater as first Treasurer in the chair, and a miscellany of agents appointed--solicitors, auditors, bankers, and a consulting surveyor. So that instruments under Seal might be executed, including the agreement with the College of Medicine for a merger, a temporary Seal of rubber was approved, involuntary tribute to the flexibility displayed by the College in its approach to the requirements of the University project. The design for a permanent Seal with a matrix in steel, the Seal in use at present, was not approved until 19 I3."
4,6,2,"The search for its first Vice-Chancellor started. The office was of the greatest moment. Lugard had already privately offered it to Cecil Clementi, who had declined it in terms which revealed his utter disarray at the notion. Among others considered were Sir Atholl McGregor and the Chinese scholar R.F. (later Sir Reginald) Johnston. Johnston was well known in Hong Kong, having been in its civil service as a young man; in 1917 he became tutor to Henry Pu-yi, the abdicated emperor of China, and was given an honorary degree by the University in 1929. The offer was finally made, however, to Sir Charles Eliot, at the time first Vice-Chancellor ofthe new University ofSheffield, which had not long joined the growing group of civic universities in Britain."
4,6,3,"The Anglican Church and the London Missionary Society had reached various stages in the founding of affiliated hostels. The Council applied its talents to plans for the University's own two hostels (later named Lugard and Eliot Halls) and the setting of fees, to matriculation and admission, to selecting olive green as the University colour, to composing a motto, and to arranging for the University to manufacture electricity for its own use with its own plant."
4,6,4,"Some two months after the publication of the list of subscriptions to the Endowment Fund, the Chancellor announced that he had had a suggestion for a Fete and Bazaar, which might be organized to swell the Fund, promising that he and his wife would do everything in their power to make it a success. The University's first buildings were to be ready in February the next year, and the Fete could make an acceptable celebration to be combined with the Opening in March."
4,6,5,"On the 16th August 191 I, between reading reports of the momentous events then taking place in China, a 'general meeting of Chinese gentlemen interested in the University' assembled at Government House to embark on this heady exercise in corporate philanthropy, and nominated a committee of eighteen under the Governor's chairmanship to draw up the initial proposals. When this group met and discussion had revealed the financial size of the problem put to it, eight of them straightway undertook together to underwrite a total of $ I 0,000 to defray expenses, with a target of $100,000 profit on the undertaking; and one can but marvel at the telepathic negotiation which, in the sobering surrounds of Government House, these eighteen men must have employed to arrive at the decision, which eight of them were to lend how much each, and why. Their undertaking and other proposals were laid three weeks later before a meeting of the parent body, which proceeded to solicit cash gifts from everyone there, and then to choose an executive committee of thirty to carry the proposals for the Fete into execution."
4,6,6,"Eschewing the notion of inviting shops to lend their goods for sale on commission, which must have been the usual manner of stocking a fete charnpetre, the executive committee set to in every conceivable way to fill a capacious store with saleable articles, whether by simple gift or by seeking out cheap goods 'which would sell at greatly enhanced prices' (the middle distance has not much changed in the intervening seventy years) or by enlisting the nimble fingers of young school stitchpinnies to knot embroideries and otherwise smock, knit, pipe, and tat. Lady Lugard's London shopping talents were pressed into service to choose, pack, and have sent about 400 items, each worth perhaps $25; and the money left over was spent on local porcelain 'and other articles'. If the reader will pause and glance back at the list of subscribers to the anatomical labora- tories, he will forthwith face the full vista of mind-reeling motley hidden behind those innocent words: 'and other articles'."
4,6,7,"Entry to the Fete was to be by fee, and it would stay open for an entire week, day and night, each stall manned in shifts. Spaces around and between the stalls would be filled with attraction and entertainment, with peepshow, bioscope, display, and every other sort of pageantry. The Main Building and each available stick of the new University furniture were put at the disposal of the organizers. There would be a Scenic Railway and performances of Chinese opera and a firework display. A branch post office would be opened in the University for the first five days, with its own cancellation stamp. An attractive poster was designed for putting up in central locations in town. The enthusiasm of the Chinese gentry already amounted to almost fifteen thousand dollars by the end of the year, with more pronlised and still three more months to go; and a bulky store of bazaar articles was waiting and on its way by sea to be sold at sizeable profits."
4,6,8,"These breezy mobilizations were kept below fever point by the chill that blew into Hong Kong from China. The Chinese community was prompted by the reports of distress and famine which attended the political upheaval across the border, to open subscription lists in aid of relief work, a heavy enough burden on the purses of a commercial populace whose trade the revolution was thrusting rapidly into depression. By the time Christmas week came the Governor began to be apprehensive lest the Fete might need to be cancelled or postponed: but he was re-assured by his executive committee that it would be a popular and sweeping cash success."
4,7,1,"Revolution, remotely controlled by Dr Sun who was still abroad, started on the loth October Igl I with an accidental explosion in a revolutionary Hankow bomb factory. One of its immediate causes was said to have been the unification of the administration of the railway system, which had been put into hand after the reform edicts of Ig05 and Ig06. On the gth November the liberation of the province of Kwangtung from Manchu rule was announced, after fighting which produced riots in Hong Kong in support of the revolution. With the proclamation of an arnlistice at Hankow on the 7th December, the provincial majority declared themselves in favour of a republican form of government, and the next day Prince Chun resigned his Regency; the Chinese cabinet issued an Edict permitting the cutting of the queues which had become the symbol of Manchu rule, and the janitor of Queen's College promptly complained that the grounds were littered with the discarded hair of Hong Kong boys. "
4,7,2,"A Peace Conference was called in Shanghai in December between two plenipotentiary Commissioners charged with drawing up the peace terms between the Manchu rulers and the revolutionary government. Both were Cantonese, and both benefactors of the University. Prince Chun had recalled to power Yuan Shih-kai, dismissed from office as prime minister by the previous emperor, and had appointed his Cantonese colleague T'ang Shao-yi as the Comnlissioner acting on behalf of the Imperial Manchu Throne in Peking. The Commissioner for the revolutionaries and foreign secretary to the provisional republican government which had established itself in Nanking, was Dr Wu Ting-fang (alias Ng Choy) , the father-in-law of Ho Kai's daughter. He had been educated in Hong Kong, had acted as secretary to Viceroy Li Hung-chang at a time when he was Patron of the College of Medicine, was called to the bar in Hong Kong as the first Chinese barrister and appointed first Chinese member of its Legislative Council, and only a short while before had made a substantial donation to the University's endowment fund, with Tarn Kon-san having pledged $ I0,000 each at a meeting of the Canton Club at Shanghai on the 8th September. He was assisted at the Conference by Wen Tsung-yao, a distinguished former student of Queen's College. 'The people of China will accept no other form of government than a Republic founded upon the will of the people' \vas the theme of Dr Wu's opening speech at the Conference. T'ang, to the general consternation, expressed himself personally disposed for a republican creed as the only basis for a stable government, despite the official position he had been appointed to adopt. From the confusion created by his defection emerged the gigantic face-saving compromise, in which a Republic of China was created by Imperial Edict."
4,7,3,"While the Conference was in progress Dr Sun was on his way to Shanghai, being allowed to land in Hong Kong on the 23rd December for the first time in sixteen years; and on the 29th was elected provisional president of the new Republic of China."
4,7,4,"In command of the Imperial detachments of Kwangtung and Kwangsi in 1911 was Admiral Li Chun, who had been in Viceroy Chang's party meeting Mody at the end ofJuly 1909; it was he who surrendered to the revolutionary forces which, in the absence of Dr Sun abroad, were directed from Hong Kong by Han-min; and acting as guarantor offaith on both sides was Wei Yuk, whom we have seen as one of the University's earliest supporters."
4,7,5,"The Emperor's abdication followed early in 1912 under the protection of 'articles offavourable treatment', which permitted him to remain in his palace at the old imperial capital of Peking. In February Dr Sun felt it expedient to step down in favour ofYuan Shih-kai, who took up residence in his palace at Nanking, the new republican capital"
4,8,1,"The Opening ofthe University took placejust after lunch in the good weather of Monday the I Ith March 1912, after a weekend of furious, last-minute flurry; an event the presss spoke of as 'one which the entire community and in which many in the neighbouring country have taken the deepest interest, an interest which was manifested not only by the large representation of the European and Chinese residents at the ceremony itself, but by the thousands who gathered in the vicinity and who lined the approaches to the new seat of learning'."
4,8,2,"The Ceremony took place in the Great Hall, approached by the range of wide granite steps from beneath the front portico laid with a cloth of crimson and flanked with potted plants. The Hall was hung with bunting and streamers and red Chinese lanterns; on the platform Lugard sat centrally as first Chancellor, with the new Court ranged in a semi-circle around him. The first to speak was Mody's son, who announced that he was causing to be fashioned in silver a miniature replica of the Main Building for presentation to the Chancellor: memento which held pride of place in Lugard's drawing room in Abinger to the day of his death, but does not appear to have survived."
4,8,3,"Lugard's reply summed up the objects and functions of the University as they had developed in the four years of its conception and building, and the purposes which all the benefactors were subscribing to, including the Govern- ment with its recent vote of $14,000 a year 'as a Regius foundation'."
4,9,1,"It is two years almost to the day since we laid the foundation stone, and I sketched to you briefly the objects which I believed that the University was destined to fulfil. I said that it was intended to enable the richer among the Chinese to study in the environment of their own country, close to the ancestral shrines of their fore-fathers, and in touch with their own people instead of becoming denaturalized by long residence abroad, a benefit wealth cannot buy: that it is to enable those who have not the means to go abroad for a degree to obtain a first class education at little cost, while its scholarships will enable the very poor, who have ability, to acquire an equal degree. The passage of time since that date and the momentous events which have lately occurred in China, have caused me to hold the views I then expressed with ever strengthening conviction. Gentlemen, I am profoundly convinced that the opening of this University in Hong Kong today is an event of the greatest historical interest and importance in the annals of the Far East.... The graduates of this University will go forth into China with standards of life, with conceptions of duty, with characters and ideals formed during their training within these walls and the affiliated hostels. Just as they will speak English, so they will reflect the training received here from a British staff. China will no doubt have Universities of her own, but we are first in the field, and this University will grow under the free institutions of the British flag, enjoy- ing the benefit of association with the Universities of Great Britain. Its position and influence will be established, it will set a standard untouched as yet by any institution in China, and it may in its turn assist and guide the newer institutions. While our University will enable the boys of our own schools to complete their education, it will also welcome all, whether from China, from the Straits or other British colonies, or from the colonies of other Powers. Ofour own boys many will no doubt occupy high and responsible positions in China. Indeed, today we claim many of the men who stand foremost in the van of progress and reform in that country as alumni of our schools. But they completed their education elsewhere at the period in a young man's life which counts most in the formation of his character. In the future this will not be so. Was ever such an opportunity afforded to any nation as this comparatively small colony has, and which the foresight and acumen of its citizens have enabled it to grasp? ... I speak no idle words when I say that there are few things that I desire more earnestly than the success of the Hong Kong University. And not only of the University, but of its Hostels. A University is necessarily secular-its very name implies it-but the history of the greatest Universities shows us that their success has been invariably associated with the moral and ethical no less than with the intellectual training of their students. I will ask your indulgence if I speak somewhat frankly on this subject since in my view it is by far the most important with which we have to deal. The neglect to recognize its importance has led to disastrous results in other Eastern and African countries. This University, as I understand, has been founded to promote two distinct objects. On the one hand its secular teaching is intended to be eminently practical, in order to fit its graduates for spheres of utility, whether in engineering, medicine, commerce or administration. On the other hand this secular teaching is to be imparted under such safeguards and conditions of residence, of association, and of collateral influence as to ensure that the higher requirements of man's nature are neither neglected nor placed in the background. To all those agencies, whether they be Christian or other, which come forward toassist the University to fulfil its transcendent obligations in this most importantof all branches of education the authorities of this University will, I imagine,always accord a welcome. I speak in the presence of the representatives of manycreeds, but I speak not of systems of philosophies, or of creeds. I speak of thecontrolling force and guiding principle which ministers through creeds andsystems of philosophy to spiritual needs. The force of which I speak inspires manto a sense of duty, to unswerving integrity and loyalty whether in public orprivate relations of life. It is additional to, and greater than, the secular andutilitarian education of the class-room. It is founded generally on religioussanction, and finds its highest expression in the noblest of creeds. It is an essentialpart of the environment and atmosphere of any University fit to train and educatea nation, and I earnestly hope that it will be pre-eminent in this one. If I havespoken too long on such a theme, on such an occasion as this, I can only remindyou that this is the last opportunity afforded me to lay before those on whom theconduct of this institution will devolve in the future the supreme importance ofthis side of education, and to charge them to recognize it if they would avoidthose disastrous results which have elsewhere attended a higher education,subversive of ancient beliefs, and afforded without regard to spiritual and moralrequirements."
4,10,1,"The assessment of the local English press was that 'the harvest will not be immediate, but it will be sure and satisfying. It is not possible, therefore, to estimate how great will be the ultimate results, but it is safe to claim that they will be great. {Hong Kong Daily Telegraph, I I th March 19 I 2.}"
4,10,2,"The speeches were several, long enough, and followed with an Anthemcomposed especially for the occasion in the Latin words of the scholarly Cecil(later Sir Cecil) Clementi set to music and conducted by Denman Fuller, thecathedral organist, who had scored it for chorus, double quartet, and militaryband. Performing the Anthem was a well-rehearsed combination of the choir ofStJohn's Cathedral supplemented by the Hong Kong Philharmonic Society andthe brass band of the King's Own Yorkshire Light Infantry, who were supplyingthe garrison at the time. In the programme appeared not only the Latin wordsof the Anthem and their translation into English, but a Chinese version of itcomposed by Robert (later Sir Robert) Kotewall and a further English translationof that; it was later said, somewhat unkindly, that Kotewall's Chinese was soerudite that only he and Clementi could make it out. In 1930, after his return asGovernor, Clementi revised his Anthem to render it more suitable for permanentuse."
4,10,3,"The Thousands were waiting patiently outside for the opening of the Fete.There was some confusion about admission, which reduced the number attend-ing its first afternoon. But it was to the relief and resounding cheers of the waitingcustomers and to the accompaniment of fusillades of raucous crackers that theChancellor emerged from the solemnity of the Great Hall and proceeded to openthe Bazaar: whereupon the Thousands poured in and pounced on the stalls insearch of gay bargains, starting a week of flamboyant fun."
4,10,4,"The second day culminated in a grand banquet and concert in the GreatHall presided over by Lugard and attended by his great committee of a hundred,and others. The 'grand musicale' which ended the banquet was presented by allthe principal amateur talent of Hong Kong, opening with the previous day'sAnthem; one of the solo singers was the new Colonial Secretary Claud (laterSir Claud) Severn, just arrived in Hong Kong from Singapore, who made hislocal debut with Stephen Adams's 'Thora'. Bad weather marred the fun ofFriday's fair, even with the compensation of a grand firework display in theevenIng."
4,10,5,"The stalls were not as well patronized as had been hoped, and the Fete wasextended beyond the weekend to the following Tuesday, when articles were to besold at any price, some of the better being reserved for auction the next Saturdaynoon at the auction rooms of George Lammert. The most popular features of theBazaar were the Chinese theatrical performances and a fine Scenic Railwaywhich threaded its way around the stalls and along the hill, giving views acrossthe harbour to the hills of Kowloon and the Islands. After the Fete closed theentire railway apparatus was put up for auction. Since its financial possibilitieshad been recognized in several quarters bidding was spirited and it was sold for$10,000 to an unnamed Chinese buyer, who proposed to erect it elsewhere inHong Kong as a profitable undertaking!. The endowment fund benefited fromthe Fete in the sum of almost $35,000, mostly in small cash."
4,10,6,"On Saturday the 16th Lugard and his Lady were conveyed by sedan chair to St George's Hall in the City Hall, where a large public gathering had assembled to bid them farewell, their last public functions having been wholly in the cause of the opening of the University. 'Any man', it was reported, 'might well be proud of such a coping-stone of his career' {dem, 11th March 1912.}"
5,0,0,Scholars by Examination
5,1,1,"SIR CHARLES ELIOT took his seat in the University Council for thefirst time in]une 1912, at a meeting presided over by Claud Severnin the place of Lugard, whose formal letter resigning as Chairmanwas read. The profits of the Bazaar were noted at the meeting anda decision reached to make an offer of appointment as professor of civil andmechanical engineering to C. A. Middleton Smith, to occupy the first full-timeChair in the University."
5,1,2,"Eliot had been succeeded at Sheffield by H. A. L. Fisher, one of England'sforemost historians, and was himself a man of quite extraordinary intellect andscholarly diligence, with interests ranging between the forms and history ofBuddhism and the Samoan sea-slug. His memory was not inaptly compared tofly-paper, to which any fact alighting stuck for all time; with this came a specialfacility in languages for which, in the Latin oration for his honorary degree atOxford, he was dubbed a Mezzofantius alter) which indeed he was, havingtwenty-seven languages at his command, including Chinese, and the distinctionof publishing the first Finnish grammar in English."
